Date,Open,High,Low,Close,Adj Close,Volume
2000-08-17,3.455357,3.745536,3.450893,3.674107,2.449906,67725000
2000-08-18,3.669643,3.700893,3.562500,3.571429,2.381440,47544000
2000-08-21,3.589286,3.683036,3.544643,3.607143,2.405253,33616800
2000-08-22,3.616071,3.772321,3.598214,3.691964,2.461813,69200600
2000-08-23,3.676336,3.910714,3.647321,3.879464,2.586839,59215800
2000-08-24,3.905128,4.044643,3.812500,4.007807,2.672418,77691600
2000-08-25,4.035714,4.107143,4.026786,4.058036,2.705910,83615000
2000-08-28,4.089286,4.214286,4.075893,4.147321,2.765447,89751200
2000-08-29,4.133929,4.245536,4.120536,4.227679,2.819029,66757600
2000-08-30,4.214286,4.285714,4.193079,4.250000,2.833913,71348200
2000-08-31,4.212050,4.392857,4.209821,4.352679,2.902379,104899200
2000-09-01,4.379464,4.544643,4.366071,4.531250,3.021451,64218000
2000-09-05,4.475443,4.580357,4.446429,4.459821,2.973822,74660600
2000-09-06,4.383929,4.455357,4.125000,4.174107,2.783308,88851000
2000-09-07,4.223214,4.468750,4.160714,4.428571,2.952985,54366200
2000-09-08,4.401786,4.401786,4.178571,4.205357,2.804145,48879600
2000-09-11,4.191964,4.312500,4.151786,4.174107,2.783308,46845400
2000-09-12,4.095979,4.290179,4.071429,4.125000,2.750562,46999400
2000-09-13,4.053571,4.250000,4.053571,4.142857,2.762469,76496000
2000-09-14,4.183036,4.258929,4.058036,4.061378,2.708140,106638000
2000-09-15,4.125000,4.156250,3.875000,3.945307,2.630743,98628600
2000-09-18,3.946429,4.339286,3.933036,4.332586,2.888981,106134000
2000-09-19,4.267857,4.321429,4.183036,4.281250,2.854750,67877600
2000-09-20,4.243300,4.388393,4.183036,4.360486,2.907585,56847000
2000-09-21,4.178571,4.258929,3.946429,4.049107,2.699957,127622600
2000-09-22,3.593750,3.745536,3.571429,3.727679,2.485628,181675200
2000-09-25,3.767857,3.964286,3.718750,3.821429,2.548140,108887800
2000-09-26,3.808036,3.910714,3.669643,3.674107,2.449906,72734200
2000-09-27,3.696429,3.767857,3.446429,3.495536,2.330834,100564800
2000-09-28,3.522321,3.843750,3.437500,3.821429,2.548140,244896400
2000-09-29,2.013393,2.071429,1.812500,1.839286,1.226442,1855410200
2000-10-02,1.906250,1.910714,1.678571,1.732143,1.154998,606197200
2000-10-03,1.781250,1.785714,1.584821,1.593750,1.062717,509530000
2000-10-04,1.598214,1.696429,1.562500,1.687500,1.125230,366506000
2000-10-05,1.678571,1.750000,1.571429,1.575893,1.050810,218251600
2000-10-06,1.620536,1.638393,1.500000,1.584821,1.056764,153164200
2000-10-09,1.616071,1.633929,1.508929,1.553571,1.035926,149391200
2000-10-10,1.544643,1.602679,1.464286,1.491071,0.994251,172775400
2000-10-11,1.437500,1.500000,1.366071,1.401786,0.934715,299605600
2000-10-12,1.450893,1.486607,1.392857,1.428571,0.952576,297766000
2000-10-13,1.446429,1.580357,1.428571,1.575893,1.050810,311938200
2000-10-16,1.593750,1.660714,1.526786,1.535714,1.024019,205044000
2000-10-17,1.549107,1.566964,1.406250,1.437500,0.958529,150430000
2000-10-18,1.388393,1.504464,1.339286,1.437500,0.958529,208566400
2000-10-19,1.368300,1.415179,1.308036,1.352679,0.901970,376681200
2000-10-20,1.361607,1.455357,1.352679,1.392857,0.928761,197815800
2000-10-23,1.447543,1.468750,1.388393,1.455357,0.970436,137823000
2000-10-24,1.477679,1.491071,1.343750,1.348214,0.898993,201112800
2000-10-25,1.361607,1.370536,1.316964,1.321429,0.881132,165992400
2000-10-26,1.343750,1.348214,1.250000,1.321429,0.881132,180462800
2000-10-27,1.348214,1.370536,1.276786,1.325893,0.884109,186125800
2000-10-30,1.366071,1.424107,1.339286,1.379464,0.919831,159797400
2000-10-31,1.410714,1.446429,1.375000,1.397321,0.931738,221470200
2000-11-01,1.388393,1.491071,1.388393,1.464286,0.976390,143841600
2000-11-02,1.508929,1.602679,1.504464,1.593750,1.062717,147673400
2000-11-03,1.642857,1.642857,1.566964,1.589286,1.059740,128955400
2000-11-06,1.602679,1.616071,1.491071,1.531250,1.021042,98369600
2000-11-07,1.535714,1.558036,1.486607,1.522321,1.015088,75490800
2000-11-08,1.526786,1.531250,1.415179,1.433036,0.955553,105522200
2000-11-09,1.419643,1.464286,1.361607,1.441964,0.961506,119208600
2000-11-10,1.382807,1.419643,1.361607,1.361607,0.907924,105562800
2000-11-13,1.339286,1.428571,1.303571,1.383929,0.922808,107954000
2000-11-14,1.424107,1.464286,1.397321,1.446429,0.964483,102250400
2000-11-15,1.430800,1.441964,1.375000,1.419643,0.946622,70589400
2000-11-16,1.392857,1.415179,1.348214,1.357143,0.904947,59843000
2000-11-17,1.370536,1.375000,1.303571,1.321429,0.881132,111545000
2000-11-20,1.328121,1.392857,1.303571,1.352679,0.901970,102016600
2000-11-21,1.370536,1.392857,1.339286,1.343750,0.896016,75488000
2000-11-22,1.343750,1.366071,1.312500,1.321429,0.881132,70133000
2000-11-24,1.347093,1.392857,1.343750,1.379464,0.919831,40233200
2000-11-27,1.419643,1.424107,1.321429,1.334821,0.890063,64698200
2000-11-28,1.334821,1.357143,1.281250,1.287943,0.858804,67281200
2000-11-29,1.292407,1.308036,1.232143,1.254464,0.836481,123037600
2000-11-30,1.191964,1.214286,1.151786,1.178571,0.785875,202399400
2000-12-01,1.214286,1.250000,1.200893,1.218750,0.812666,96426400
2000-12-04,1.227679,1.227679,1.174107,1.191964,0.794805,92880200
2000-12-05,1.209821,1.245536,1.169643,1.214286,0.809689,153494600
2000-12-06,1.044643,1.071429,1.000000,1.022321,0.681687,343616000
2000-12-07,1.031250,1.062500,1.000000,1.022321,0.681687,102229400
2000-12-08,1.058036,1.093750,1.031250,1.075893,0.717408,108906000
2000-12-11,1.084821,1.098214,1.062500,1.084821,0.723362,83127800
2000-12-12,1.089286,1.142857,1.071429,1.098214,0.732292,96565000
2000-12-13,1.111607,1.111607,1.062500,1.071429,0.714432,86221800
2000-12-14,1.073657,1.089286,1.031250,1.031250,0.687641,65829400
2000-12-15,1.040179,1.049107,1.000000,1.004464,0.669780,128486400
2000-12-18,1.040179,1.044643,0.995536,1.017857,0.678710,81452000
2000-12-19,1.026786,1.089286,1.000000,1.000000,0.666803,93501800
2000-12-20,0.984371,1.044643,0.973214,1.026786,0.684664,141332800
2000-12-21,1.017857,1.071429,0.991071,1.004464,0.669780,91711200
2000-12-22,1.008929,1.071429,1.008929,1.071429,0.714432,79513000
2000-12-26,1.062500,1.071429,1.017857,1.049107,0.699548,54203800
2000-12-27,1.024550,1.058036,1.013393,1.058036,0.705501,81366600
2000-12-28,1.026786,1.066964,1.022321,1.058036,0.705501,76294400
2000-12-29,1.049107,1.071429,1.035714,1.062500,0.708478,157584000
2001-01-02,1.062500,1.089286,1.040179,1.062500,0.708478,113078000
2001-01-03,1.035714,1.191964,1.031250,1.169643,0.779921,204268400
2001-01-04,1.295757,1.321429,1.200893,1.218750,0.812666,184849000
2001-01-05,1.209821,1.241071,1.147321,1.169643,0.779921,103089000
2001-01-08,1.209821,1.213164,1.138393,1.183036,0.788852,93424800
2001-01-09,1.200893,1.260043,1.183036,1.227679,0.818620,147232400
2001-01-10,1.191964,1.214286,1.147321,1.183036,0.788852,145195400
2001-01-11,1.160714,1.321429,1.160714,1.285714,0.857318,200933600
2001-01-12,1.276786,1.285714,1.218750,1.227679,0.818620,105844200
2001-01-16,1.245536,1.303571,1.214286,1.223214,0.815643,76529600
2001-01-17,1.254464,1.254464,1.178571,1.200893,0.800759,210218400
2001-01-18,1.272321,1.339286,1.258929,1.334821,0.890063,306752600
2001-01-19,1.388393,1.397321,1.334821,1.392857,0.928761,194166000
2001-01-22,1.361607,1.401786,1.316964,1.375000,0.916854,129831800
2001-01-23,1.379464,1.495536,1.361607,1.464286,0.976390,219882600
2001-01-24,1.473214,1.477679,1.397321,1.464286,0.976390,179272800
2001-01-25,1.468750,1.468750,1.410714,1.424107,0.949599,122427200
2001-01-26,1.392857,1.415179,1.361607,1.397321,0.931738,120705200
2001-01-29,1.397321,1.553571,1.397321,1.549107,1.032950,213882200
2001-01-30,1.540179,1.571429,1.491071,1.553571,1.035926,173105800
2001-01-31,1.535714,1.607143,1.531250,1.544643,1.029973,182676200
2001-02-01,1.477679,1.535714,1.464286,1.508929,1.006158,92423800
2001-02-02,1.508929,1.566964,1.464286,1.473214,0.982344,106835400
2001-02-05,1.464286,1.468750,1.410714,1.441964,0.961506,71528800
2001-02-06,1.439729,1.527900,1.428571,1.508929,1.006158,115677800
2001-02-07,1.475443,1.491071,1.415179,1.482143,0.988297,98471800
2001-02-08,1.468750,1.504464,1.441964,1.482143,0.988297,151032000
2001-02-09,1.464286,1.486607,1.334821,1.366071,0.910900,147520800
2001-02-12,1.361607,1.428571,1.343750,1.406250,0.937692,68530000
2001-02-13,1.424107,1.459821,1.357143,1.366071,0.910900,59267600
2001-02-14,1.370536,1.401786,1.321429,1.392857,0.928761,77280000
2001-02-15,1.406250,1.468750,1.406250,1.433036,0.955553,77854000
2001-02-16,1.357143,1.392857,1.339286,1.357143,0.904947,65977800
2001-02-20,1.370536,1.388393,1.299107,1.308036,0.872202,78723400
2001-02-21,1.303571,1.424107,1.303571,1.348214,0.898993,97564600
2001-02-22,1.361607,1.383929,1.285714,1.343750,0.896016,107990400
2001-02-23,1.330357,1.348214,1.303571,1.343750,0.896016,73466400
2001-02-26,1.361607,1.406250,1.325893,1.392857,0.928761,51609600
2001-02-27,1.377229,1.388393,1.334821,1.383929,0.922808,87129000
2001-02-28,1.383929,1.388393,1.294643,1.303571,0.869225,127058400
2001-03-01,1.272321,1.339286,1.227679,1.339286,0.893040,82615400
2001-03-02,1.308036,1.459821,1.303571,1.375000,0.916854,101550400
2001-03-05,1.383929,1.464286,1.375000,1.455357,0.970436,81043200
2001-03-06,1.479907,1.575893,1.477679,1.535714,1.024019,182950600
2001-03-07,1.522321,1.544643,1.482143,1.517857,1.012112,104885200
2001-03-08,1.477679,1.508929,1.459821,1.486607,0.991274,51214800
2001-03-09,1.473214,1.477679,1.428571,1.446429,0.964483,74783800
2001-03-12,1.406250,1.419643,1.294643,1.330357,0.887086,97755000
2001-03-13,1.348214,1.397321,1.299107,1.397321,0.931738,110832400
2001-03-14,1.321429,1.464286,1.316964,1.459821,0.973413,119443800
2001-03-15,1.491071,1.526786,1.406250,1.406250,0.937692,132329400
2001-03-16,1.357143,1.450893,1.348214,1.401786,0.934715,117579000
2001-03-19,1.410714,1.473214,1.392857,1.468750,0.979367,89002200
2001-03-20,1.479907,1.495536,1.406250,1.406250,0.937692,124801600
2001-03-21,1.412943,1.491071,1.383929,1.437500,0.958529,92843800
2001-03-22,1.455357,1.553571,1.441964,1.544643,1.029973,180825400
2001-03-23,1.575893,1.683036,1.571429,1.642857,1.095462,236222000
2001-03-26,1.652143,1.696429,1.509286,1.555714,1.037355,183612800
2001-03-27,1.567143,1.646429,1.564286,1.633571,1.089270,135955400
2001-03-28,1.577143,1.607143,1.535714,1.583571,1.055930,146165600
2001-03-29,1.555000,1.675000,1.535714,1.609286,1.073076,153266400
2001-03-30,1.610714,1.622857,1.524286,1.576429,1.051167,100087400
2001-04-02,1.577857,1.618571,1.528571,1.542143,1.028306,85227800
2001-04-03,1.525714,1.528571,1.437857,1.445714,0.964007,92171800
2001-04-04,1.411429,1.446429,1.339286,1.392857,0.928761,171371200
2001-04-05,1.471429,1.607143,1.428571,1.490714,0.994013,111690600
2001-04-06,1.485714,1.502857,1.421429,1.470714,0.980677,81222400
2001-04-09,1.477857,1.524286,1.432857,1.467143,0.978295,66645600
2001-04-10,1.492857,1.621429,1.484286,1.574286,1.049739,114343600
2001-04-11,1.641429,1.642857,1.520000,1.557143,1.038308,83524000
2001-04-12,1.530000,1.644286,1.510714,1.601429,1.067837,74733400
2001-04-16,1.577857,1.600000,1.490000,1.531429,1.021161,71306200
2001-04-17,1.514286,1.515000,1.400000,1.457143,0.971627,171299800
2001-04-18,1.540714,1.720000,1.505714,1.627857,1.085460,275210600
2001-04-19,1.825000,1.839286,1.685714,1.837143,1.225012,468417600
2001-04-20,1.780714,1.830714,1.757143,1.788571,1.192625,173350800
2001-04-23,1.738571,1.785714,1.714286,1.732143,1.154998,135381400
2001-04-24,1.737857,1.767857,1.679286,1.716429,1.144520,94284400
2001-04-25,1.729286,1.775714,1.683571,1.765714,1.177384,82695200
2001-04-26,1.797857,1.864286,1.762857,1.763571,1.175955,199924200
2001-04-27,1.800000,1.877857,1.767857,1.871429,1.247874,113253000
2001-04-30,1.907143,1.937143,1.776429,1.820714,1.214058,123694200
2001-05-01,1.815000,1.892857,1.800000,1.852143,1.235014,106813000
2001-05-02,1.881429,1.907143,1.840000,1.899286,1.266450,92131200
2001-05-03,1.855000,1.875000,1.766429,1.782857,1.188815,75385800
2001-05-04,1.731429,1.846429,1.711429,1.839286,1.226442,70263200
2001-05-07,1.830000,1.840000,1.774286,1.782857,1.188815,69137600
2001-05-08,1.810714,1.817857,1.710714,1.755000,1.170239,78859200
2001-05-09,1.724286,1.753571,1.690714,1.712857,1.142138,81222400
2001-05-10,1.729286,1.750000,1.639286,1.642857,1.095462,72244200
2001-05-11,1.643571,1.677857,1.625714,1.632143,1.088318,50761200
2001-05-14,1.635000,1.691429,1.625000,1.663571,1.109274,77305200
2001-05-15,1.669286,1.821429,1.645714,1.655714,1.104035,59256400
2001-05-16,1.661429,1.750000,1.632143,1.721429,1.147853,80582600
2001-05-17,1.730714,1.737857,1.660714,1.682143,1.121658,83029800
2001-05-18,1.668571,1.688571,1.651429,1.680714,1.120705,39762800
2001-05-21,1.687857,1.707857,1.646429,1.682857,1.122134,115249400
2001-05-22,1.714286,1.723571,1.671429,1.678571,1.119276,103229000
2001-05-23,1.696429,1.696429,1.632857,1.659286,1.106417,70260400
2001-05-24,1.663571,1.664286,1.615714,1.657143,1.104988,67939200
2001-05-25,1.657143,1.663571,1.607143,1.625714,1.084031,39685800
2001-05-29,1.594286,1.607143,1.486429,1.533571,1.022590,128997400
2001-05-30,1.482857,1.482857,1.378571,1.412857,0.942097,194269600
2001-05-31,1.414286,1.445714,1.392143,1.425000,0.950194,110723200
2001-06-01,1.437857,1.506429,1.427143,1.492143,0.994965,114018800
2001-06-04,1.505714,1.507857,1.461429,1.475714,0.984011,70480200
2001-06-05,1.485714,1.507143,1.453571,1.495714,0.997347,117948600
2001-06-06,1.495000,1.495000,1.452143,1.480714,0.987345,55794200
2001-06-07,1.479286,1.550000,1.460714,1.547143,1.031640,81295200
2001-06-08,1.546429,1.546429,1.479286,1.522857,1.015446,85656200
2001-06-11,1.503571,1.505000,1.425000,1.431429,0.954481,73500000
2001-06-12,1.412143,1.477857,1.411429,1.450714,0.967340,75948600
2001-06-13,1.530000,1.552143,1.432857,1.462143,0.974961,127871800
2001-06-14,1.431429,1.460714,1.412143,1.420000,0.946860,74337200
2001-06-15,1.435714,1.482143,1.382143,1.460000,0.973532,113656200
2001-06-18,1.457857,1.489286,1.428571,1.452143,0.968293,86478000
2001-06-19,1.489286,1.528571,1.429286,1.442143,0.961625,80271800
2001-06-20,1.428571,1.560714,1.427143,1.547857,1.032116,107905000
2001-06-21,1.539286,1.642857,1.507143,1.606429,1.071171,85332800
2001-06-22,1.605714,1.642857,1.554286,1.590000,1.060217,71506400
2001-06-25,1.607143,1.714286,1.603571,1.713571,1.142615,109887400
2001-06-26,1.667143,1.697857,1.643571,1.696429,1.131184,68195400
2001-06-27,1.702143,1.714286,1.607143,1.667143,1.111656,93532600
2001-06-28,1.646429,1.707857,1.638571,1.681429,1.121181,87102400
2001-06-29,1.690000,1.792857,1.657143,1.660714,1.107369,128847600
2001-07-02,1.688571,1.730714,1.652857,1.707143,1.138328,57512000
2001-07-03,1.679286,1.727143,1.678571,1.702857,1.135470,28135800
2001-07-05,1.685714,1.697857,1.643571,1.656429,1.104511,38073000
2001-07-06,1.625714,1.640000,1.551429,1.573571,1.049262,75730200
2001-07-09,1.577857,1.642857,1.548571,1.621429,1.081174,84366800
2001-07-10,1.639286,1.647857,1.488571,1.510000,1.006873,98817600
2001-07-11,1.502143,1.610714,1.500000,1.610000,1.073553,117626600
2001-07-12,1.664286,1.772143,1.664286,1.740000,1.160237,153700400
2001-07-13,1.723571,1.786429,1.702857,1.775000,1.183576,113685600
2001-07-16,1.777143,1.792857,1.707857,1.711429,1.141186,69666800
2001-07-17,1.712857,1.801429,1.643571,1.792857,1.195483,161957600
2001-07-18,1.555714,1.627143,1.458571,1.485000,0.990202,284253200
2001-07-19,1.516429,1.530000,1.410714,1.425714,0.950671,215285000
2001-07-20,1.407143,1.432857,1.392143,1.427143,0.951623,111146000
2001-07-23,1.435000,1.464286,1.393571,1.395714,0.930666,60340000
2001-07-24,1.385000,1.422857,1.337857,1.363571,0.909234,87094000
2001-07-25,1.365714,1.378571,1.283571,1.319286,0.879704,110969600
2001-07-26,1.320000,1.342857,1.275000,1.327857,0.885419,92285200
2001-07-27,1.339286,1.375000,1.321429,1.354286,0.903042,83533800
2001-07-30,1.365714,1.382857,1.322143,1.352143,0.901613,60839800
2001-07-31,1.376429,1.387143,1.322143,1.342143,0.894945,58756600
2001-08-01,1.357857,1.412857,1.353571,1.361429,0.907805,76034000
2001-08-02,1.403571,1.419286,1.375714,1.415714,0.944002,63022400
2001-08-03,1.420714,1.421429,1.357143,1.392857,0.928761,46513600
2001-08-06,1.360000,1.404286,1.357143,1.366429,0.911139,24913000
2001-08-07,1.380714,1.405000,1.355714,1.375000,0.916854,42137200
2001-08-08,1.375714,1.407143,1.324286,1.350000,0.900184,69042400
2001-08-09,1.354286,1.367857,1.337143,1.360714,0.907328,50166200
2001-08-10,1.360000,1.380000,1.327857,1.358571,0.905899,46740400
2001-08-13,1.364286,1.380714,1.340000,1.363571,0.909234,36999200
2001-08-14,1.371429,1.382857,1.333571,1.337857,0.892087,57237600
2001-08-15,1.340000,1.352857,1.300000,1.317143,0.878275,72319800
2001-08-16,1.305000,1.339286,1.283571,1.332143,0.888277,72023000
2001-08-17,1.285714,1.317857,1.285000,1.290714,0.860652,52106600
2001-08-20,1.295714,1.302143,1.272143,1.294286,0.863034,63075600
2001-08-21,1.295714,1.295714,1.264286,1.280000,0.853508,46425400
2001-08-22,1.281429,1.303571,1.257857,1.300714,0.867320,43493800
2001-08-23,1.300000,1.310000,1.255714,1.272143,0.848269,54269600
2001-08-24,1.285714,1.330000,1.260714,1.326429,0.884467,72583000
2001-08-27,1.328571,1.378571,1.297143,1.351429,0.901137,43911000
2001-08-28,1.350000,1.367143,1.314286,1.314286,0.876370,42933800
2001-08-29,1.317143,1.345000,1.273571,1.273571,0.849221,59992800
2001-08-30,1.267143,1.298571,1.234286,1.273571,0.849221,92173200
2001-08-31,1.266429,1.328571,1.260714,1.325000,0.883514,54226200
2001-09-04,1.321429,1.362857,1.298571,1.303571,0.869225,87053400
2001-09-05,1.302857,1.353571,1.294286,1.325000,0.883514,90014400
2001-09-06,1.314286,1.352143,1.260714,1.265714,0.843982,70592200
2001-09-07,1.250000,1.292857,1.228571,1.234286,0.823026,60457600
2001-09-10,1.214286,1.250000,1.208571,1.240714,0.827312,77211400
2001-09-17,1.142857,1.219286,1.123571,1.213571,0.809213,114501800
2001-09-18,1.207143,1.265714,1.155000,1.162857,0.775397,81775400
2001-09-19,1.178571,1.221429,1.114286,1.215714,0.810642,93329600
2001-09-20,1.163571,1.210714,1.107143,1.120000,0.746819,102793600
2001-09-21,1.057143,1.160714,1.048571,1.123571,0.749201,142629200
2001-09-24,1.150714,1.202857,1.139286,1.175000,0.783494,73634400
2001-09-25,1.152857,1.158571,1.096429,1.110000,0.740151,93601200
2001-09-26,1.129286,1.135000,1.066429,1.082143,0.721576,123449200
2001-09-27,1.089286,1.125000,1.085714,1.107857,0.738722,80560200
2001-09-28,1.122143,1.136429,1.099286,1.107857,0.738722,91277200
2001-10-01,1.106429,1.142143,1.087857,1.110000,0.740151,52052000
2001-10-02,1.102143,1.130714,1.062857,1.075000,0.716813,58970800
2001-10-03,1.067857,1.097143,1.059286,1.070000,0.713479,170760800
2001-10-04,1.096429,1.160714,1.070714,1.134286,0.756345,100280600
2001-10-05,1.100000,1.153571,1.070714,1.152857,0.768729,85671600
2001-10-08,1.112143,1.167857,1.107143,1.157143,0.771587,51996000
2001-10-09,1.146429,1.157143,1.116429,1.142857,0.762061,43506400
2001-10-10,1.150000,1.203571,1.139286,1.201429,0.801116,76939800
2001-10-11,1.208571,1.267143,1.203571,1.267143,0.844935,83540800
2001-10-12,1.236429,1.291429,1.204286,1.286429,0.857794,71953000
2001-10-15,1.282143,1.312857,1.282143,1.285000,0.856842,79688000
2001-10-16,1.292143,1.300000,1.269286,1.286429,0.857794,50737400
2001-10-17,1.310000,1.315000,1.211429,1.213571,0.809213,71384600
2001-10-18,1.235000,1.302143,1.235000,1.285714,0.857318,153143200
2001-10-19,1.281429,1.314286,1.277143,1.307143,0.871607,41697600
2001-10-22,1.300714,1.362143,1.292143,1.358571,0.905899,97984600
2001-10-23,1.365714,1.387143,1.276429,1.295714,0.863986,171245200
2001-10-24,1.290000,1.363571,1.267857,1.353571,0.902566,93606800
2001-10-25,1.317143,1.375000,1.297143,1.370714,0.913996,63737800
2001-10-26,1.347143,1.375000,1.330000,1.333571,0.889229,69741000
2001-10-29,1.326429,1.333571,1.257143,1.259286,0.839696,59795400
2001-10-30,1.241429,1.285714,1.218571,1.257143,0.838266,69190800
